id,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Churn
72736,neutral or dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco Plus,1786,3,4,3,4,4,3,5,4,5,3,1,5,4,4,2,0,1
27909,neutral or dissatisfied,Male,disloyal Customer,37,Business travel,Eco,2150,3,3,3,3,3,3,5,4,2,3,3,5,1,5,0,14,1
94963,satisfied,Male,Loyal Customer,36,Business travel,Eco,1580,5,4,4,4,5,5,5,5,5,3,1,3,4,5,1,0,0
91113,neutral or dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,1927,4,1,4,2,5,4,5,5,1,1,3,3,2,5,0,0,1
1100,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,1931,5,5,5,5,5,5,5,4,4,4,4,4,4,3,0,0,0
31875,satisfied,Female,Loyal Customer,52,Business travel,Business,6510,3,5,5,5,3,3,3,3,3,3,5,3,2,3,16,0,0
27755,satisfied,Female,Loyal Customer,16,Business travel,Business,2308,1,1,5,1,4,4,4,4,3,3,2,2,3,4,3,0,0
129601,satisfied,Female,Loyal Customer,51,Business travel,Business,339,1,1,1,1,2,5,5,5,5,4,5,3,5,5,0,0,0
5636,satisfied,Male,Loyal Customer,60,Business travel,Business,2689,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,0
102101,satisfied,Female,Loyal Customer,39,Business travel,Business,3608,0,0,0,4,2,5,4,3,3,3,5,5,3,5,0,0,0
25473,satisfied,Male,Loyal Customer,44,Business travel,Business,517,2,2,2,2,5,2,3,5,5,5,5,1,5,2,17,1,0
9645,satisfied,Female,Loyal Customer,54,Business travel,Business,3122,0,5,0,1,4,5,4,5,5,5,5,4,5,5,0,0,0
104535,satisfied,Male,disloyal Customer,23,Business travel,Eco,2475,4,4,4,4,4,4,4,4,3,4,4,3,5,4,0,0,1
53065,satisfied,Female,Loyal Customer,58,Personal Travel,Eco,1232,5,2,2,2,5,5,5,5,2,3,2,3,1,5,0,0,0
20972,neutral or dissatisfied,Female,Loyal Customer,33,Personal Travel,Eco,1724,4,5,4,4,2,4,2,2,3,5,4,3,5,2,0,0,1
6777,satisfied,Male,Loyal Customer,55,Business travel,Business,238,1,1,1,1,3,5,4,5,5,5,5,4,5,4,0,0,0
48635,satisfied,Female,disloyal Customer,24,Business travel,Business,1081,4,5,4,4,2,4,2,2,5,4,5,4,4,2,4,14,1
14485,satisfied,Male,Loyal Customer,11,Personal Travel,Eco,1922,5,1,5,2,1,5,1,1,4,3,3,4,2,1,0,3,0
80662,neutral or dissatisfied,Male,Loyal Customer,34,Business travel,Eco,2266,2,2,2,2,2,2,2,2,4,5,3,1,3,2,0,4,1
46623,satisfied,Male,Loyal Customer,56,Business travel,Business,119,4,4,4,4,4,5,3,5,5,5,4,2,5,5,0,0,0
66457,neutral or dissatisfied,Male,Loyal Customer,54,Personal Travel,Eco,2414,4,3,4,2,3,4,3,3,3,3,5,1,1,3,0,2,1
20008,neutral or dissatisfied,Male,Loyal Customer,68,Personal Travel,Eco,1811,3,4,2,1,2,2,2,2,3,3,4,1,1,2,78,65,1
